 ,Area,Mean,Min,Max
480,154,255,255,255
481,86,255,255,255
482,172,255,255,255
483,159,255,255,255
484,131,255,255,255
485,173,255,255,255
486,191,255,255,255
487,120,255,255,255
488,243,255,255,255
489,206,255,255,255
490,181,255,255,255
491,157,255,255,255
492,157,255,255,255
493,304,255,255,255
494,131,255,255,255
495,89,255,255,255
496,287,255,255,255
497,208,255,255,255
498,354,255,255,255
499,170,255,255,255
500,226,255,255,255
501,177,255,255,255
502,176,255,255,255
503,169,255,255,255
504,143,255,255,255
505,352,255,255,255
506,152,255,255,255
507,394,255,255,255
508,420,255,255,255
509,179,255,255,255
510,172,255,255,255
511,272,255,255,255
512,407,255,255,255
513,218,255,255,255
514,146,255,255,255
515,224,255,255,255
516,275,255,255,255
517,184,255,255,255
518,305,255,255,255
519,198,255,255,255
520,157,255,255,255
521,445,255,255,255
522,129,255,255,255
523,198,255,255,255
524,286,255,255,255
525,161,255,255,255
526,287,255,255,255
527,155,255,255,255
528,307,255,255,255
529,143,255,255,255
530,390,255,255,255
531,369,255,255,255
532,237,255,255,255
533,140,255,255,255
534,296,255,255,255
535,91,255,255,255
536,261,255,255,255
537,171,255,255,255
538,146,255,255,255
539,247,255,255,255
540,236,255,255,255
541,120,255,255,255
542,124,255,255,255
543,290,255,255,255
544,100,255,255,255
545,153,255,255,255
546,147,255,255,255
547,161,255,255,255
548,179,255,255,255
549,139,255,255,255
550,316,255,255,255
551,192,255,255,255
552,266,255,255,255
553,215,255,255,255
554,100,255,255,255
555,431,255,255,255
556,242,255,255,255
557,218,255,255,255
558,318,255,255,255
559,228,255,255,255
560,287,255,255,255
561,366,255,255,255
562,214,255,255,255
563,1150,255,255,255
564,176,255,255,255
565,131,255,255,255
566,179,255,255,255
567,232,255,255,255
568,205,255,255,255
569,188,255,255,255
570,274,255,255,255
571,238,255,255,255
572,223,255,255,255
573,132,255,255,255
574,379,255,255,255
575,191,255,255,255
576,204,255,255,255
577,997,255,255,255
578,285,255,255,255
579,208,255,255,255
580,319,255,255,255
581,202,255,255,255
